"NAICS codes","NAICS U.S. industry title","Size standards in millions of dollars","Size standards in number of employees"
237110,"Water and Sewer Line and Related Structures Construction",$39.5,NULL
237130,"Power and Communication Line and Related Structures Construction",$39.5,NULL
237210,Land Subdivision,$30.0,NULL
237310,"Highway, Street, and Bridge Construction",$39.5,NULL
237990,"Other Heavy and Civil Engineering Construction",$39.5,NULL
"237990_Except",Dredging and Surface Cleanup Activities,$30.0,NULL
238110,"Poured Concrete Foundation and Structure Contractors",$16.5,NULL
238120,"Structural Steel and Precast Concrete Contractors",$16.5,NULL
238130,Framing Contractors,$16.5,NULL
238140,Masonry Contractors,$16.5,NULL
238150,Glass and Glazing Contractors,$16.5,NULL
238160,Roofing Contractors,$16.5,NULL
238170,Siding Contractors,$16.5,NULL
238190,"Other Foundation, Structure, and Building Exterior Contractors",$16.5,NULL
238210,"Electrical Contractors and Other Wiring Installation Contractors",$16.5,NULL
238220,"Plumbing, Heating, and Air-Conditioning Contractors",$16.5,NULL
238290,Other Building Equipment Contractors,$16.5,NULL
238310,Drywall and Insulation Contractors,$16.5,NULL
238320,Painting and Wall Covering Contractors,$16.5,NULL
238330,Flooring Contractors,$16.5,NULL
238340,Tile and Terrazzo Contractors,$16.5,NULL
238350,Finish Carpentry Contractors,$16.5,NULL
238390,Other Building Finishing Contractors,$16.5,NULL
238910,Site Preparation Contractors,$16.5,NULL
238990,All Other Specialty Trade Contractors,$16.5,NULL
"238990_Except","Building and Property Specialty Trade Services",$16.5,NULL
311111,Dog and Cat Food Manufacturing,NULL,"1,000"
311119,Other Animal Food Manufacturing,NULL,500
311211,Flour Milling,NULL,"1,000"
311212,Rice Milling,NULL,500
311213,Malt Manufacturing,NULL,500
311221,Wet Corn Milling,NULL,"1,250"
311224,Soybean and Other Oilseed Processing,NULL,"1,000"
311225,Fats and Oils Refining and Blending,NULL,"1,000"
311230,Breakfast Cereal Manufacturing,NULL,"1,000"
311313,Beet Sugar Manufacturing,NULL,750
311314,Cane Sugar Manufacturing,NULL,"1,000"
311340,Nonchocolate Confectionery Manufacturing,NULL,"1,000"
311351,"Chocolate and Confectionery Manufacturing from Cacao Beans",NULL,"1,250"
311352,"Confectionery Manufacturing from Purchased Chocolate",NULL,"1,000"
311411,"Frozen Fruit, Juice and Vegetable Manufacturing",NULL,"1,000"
311412,Frozen Specialty Food Manufacturing,NULL,"1,250"
311421,Fruit and Vegetable Canning,NULL,"1,000"
311422,Specialty Canning,NULL,"1,250"
311423,Dried and Dehydrated Food Manufacturing,NULL,750
311511,Fluid Milk Manufacturing,NULL,"1,000"
311512,Creamery Butter Manufacturing,NULL,750
311513,Cheese Manufacturing,NULL,"1,250"
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",NULL,750
311520,Ice Cream and Frozen Dessert Manufacturing,NULL,"1,000"
311611,Animal (except Poultry) Slaughtering,NULL,"1,000"
311612,Meat Processed from Carcasses,NULL,"1,000"
311613,Rendering and Meat Byproduct Processing,NULL,750
311615,Poultry Processing,NULL,"1,250"
311710,Seafood Product Preparation and Packaging,NULL,750
311811,Retail Bakeries,NULL,500
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",NULL,750
311821,Cookie and Cracker Manufacturing,NULL,"1,250"
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",NULL,750
311830,Tortilla Manufacturing,NULL,"1,250"
311911,"Roasted Nuts and Peanut Butter Manufacturing",NULL,750
311919,Other Snack Food Manufacturing,NULL,"1,250"
311920,Coffee and Tea Manufacturing,NULL,750
311930,"Flavoring Syrup and Concentrate Manufacturing",NULL,"1,000"
311941,"Mayonnaise, Dressing and Other Prepared Sauce Manufacturing",NULL,750
311942,Spice and Extract Manufacturing,NULL,500
311991,Perishable Prepared Food Manufacturing,NULL,500
311999,All Other Miscellaneous Food Manufacturing,NULL,500
312111,Soft Drink Manufacturing,NULL,"1,250"
312112,Bottled Water Manufacturing,NULL,"1,000"
312113,Ice Manufacturing,NULL,750
312120,Breweries,NULL,"1,250"
312130,Wineries,NULL,"1,000"
312140,Distilleries,NULL,"1,000"
312230,Tobacco Manufacturing,NULL,"1,500"
313110,"Fiber, Yarn, and Thread Mills",NULL,"1,250"
313210,Broadwoven Fabric Mills,NULL,"1,000"
313220,"Narrow Fabric Mills and Schiffli Machine Embroidery",NULL,500
313230,Nonwoven Fabric Mills,NULL,750
313240,Knit Fabric Mills,NULL,500
313310,Textile and Fabric Finishing Mills,NULL,"1,000"
313320,Fabric Coating Mills,NULL,"1,000"
314110,Carpet and Rug Mills,NULL,"1,500"
314120,Curtain and Linen Mills,NULL,750
314910,Textile Bag and Canvas Mills,NULL,500
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",NULL,"1,000"
314999,All Other Miscellaneous Textile Product Mills,NULL,500
315110,Hosiery and Sock Mills,NULL,750
315190,Other Apparel Knitting Mills,NULL,750
315210,Cut and Sew Apparel Contractors,NULL,750
315220,"Men's and Boys' Cut and Sew Apparel Manufacturing",NULL,750
315240,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",NULL,750
315280,Other Cut and Sew Apparel Manufacturing,NULL,750
315990,"Apparel Accessories and Other Apparel Manufacturing",NULL,500
316110,Leather and Hide Tanning and Finishing,NULL,500
316210,Footwear Manufacturing,NULL,"1,000"
316992,Women’s Handbag and Purse Manufacturing,NULL,750
316998,"All Other Leather Good and Allied Product Manufacturing",NULL,500
321113,Sawmills,NULL,500
321114,Wood Preservation,NULL,500
321211,"Hardwood Veneer and Plywood Manufacturing",NULL,500
321212,"Softwood Veneer and Plywood Manufacturing",NULL,"1,250"
321213,"Engineered Wood Member (except Truss) Manufacturing",NULL,750
321214,Truss Manufacturing,NULL,500
321219,Reconstituted Wood Product Manufacturing,NULL,750
321911,Wood Window and Door Manufacturing,NULL,"1,000"
321912,"Cut Stock, Resawing Lumber, and Planing",NULL,500
321918,Other Millwork (including Flooring),NULL,500
321920,Wood Container and Pallet Manufacturing,NULL,500
321991,"Manufactured Home (Mobile Home) Manufacturing",NULL,"1,250"
321992,Prefabricated Wood Building Manufacturing,NULL,500
321999,"All Other Miscellaneous Wood Product Manufacturing",NULL,500
322110,Pulp Mills,NULL,750
322121,Paper (except Newsprint) Mills,NULL,"1,250"
322122,Newsprint Mills,NULL,750
322130,Paperboard Mills,NULL,"1,250"
322211,"Corrugated and Solid Fiber Box Manufacturing",NULL,"1,250"
322212,Folding Paperboard Box Manufacturing,NULL,750
322219,Other Paperboard Container Manufacturing,NULL,"1,000"
322220,"Paper Bag and Coated and Treated Paper Manufacturing",NULL,750
322230,Stationery Product Manufacturing,NULL,750
322291,Sanitary Paper Product Manufacturing,NULL,"1,500"
322299,"All Other Converted Paper Product Manufacturing",NULL,500
323111,"Commercial Printing (except Screen and Books)",NULL,500
323113,Commercial Screen Printing,NULL,500
323117,Books Printing,NULL,"1,250"
323120,Support Activities for Printing,NULL,500
324110,Petroleum Refineries,NULL,"1,500"
324121,"Asphalt Paving Mixture and Block Manufacturing",NULL,500
324122,"Asphalt Shingle and Coating Materials Manufacturing",NULL,750
324191,"Petroleum Lubricating Oil and Grease Manufacturing",NULL,750
324199,"All Other Petroleum and Coal Products Manufacturing",NULL,500
325110,Petrochemical Manufacturing,NULL,"1,000"
325120,Industrial Gas Manufacturing,NULL,"1,000"
325130,Synthetic Dye and Pigment Manufacturing,NULL,"1,000"
325180,"Other Basic Inorganic Chemical Manufacturing",NULL,"1,000"
325193,Ethyl Alcohol Manufacturing,NULL,"1,000"
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",NULL,"1,250"
325199,"All Other Basic Organic Chemical Manufacturing",NULL,"1,250"
325212,Synthetic Rubber Manufacturing,NULL,"1,000"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing",NULL,"1,000"
325311,Nitrogenous Fertilizer Manufacturing,NULL,"1,000"
325312,Phosphatic Fertilizer Manufacturing,NULL,750
325314,Fertilizer (Mixing Only) Manufacturing,NULL,500
325320,"Pesticide and Other Agricultural Chemical Manufacturing",NULL,"1,000"
325411,Medicinal and Botanical Manufacturing,NULL,"1,000"
325412,Pharmaceutical Preparation Manufacturing,NULL,"1,250"
325413,In-Vitro Diagnostic Substance Manufacturing,NULL,"1,250"
325414,"Biological Product (except Diagnostic) Manufacturing",NULL,"1,250"
325510,Paint and Coating Manufacturing,NULL,"1,000"
325520,Adhesive Manufacturing,NULL,500
325611,Soap and Other Detergent Manufacturing,NULL,"1,000"
325612,"Polish and Other Sanitation Good Manufacturing",NULL,750
325613,Surface Active Agent Manufacturing,NULL,750
325620,Toilet Preparation Manufacturing,NULL,"1,250"
325910,Printing Ink Manufacturing,NULL,500
325920,Explosives Manufacturing,NULL,750
325991,Custom Compounding of Purchased Resins,NULL,500
325992,"Photographic Film, Paper, Plate and Chemical Manufacturing",NULL,"1,500"
325998,"All Other Miscellaneous Chemical Product and Preparation Manufacturing",NULL,500
326111,Plastic Bag and Pouch Manufacturing,NULL,750
326112,"Plastics Packaging Film and Sheet (including Laminated) Manufacturing",NULL,"1,000"
326113,"Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing",NULL,750
326121,"Unlaminated Plastics Profile Shape Manufacturing",NULL,500
326122,Plastics Pipe and Pipe Fitting Manufacturing,NULL,750
326140,Polystyrene Foam Product Manufacturing,NULL,"1,000"
326150,"Urethane and Other Foam Product (except Polystyrene) Manufacturing",NULL,750
326160,Plastics Bottle Manufacturing,NULL,"1,250"
326191,Plastics Plumbing Fixture Manufacturing,NULL,750
326199,All Other Plastics Product Manufacturing,NULL,750
326211,Tire Manufacturing (except Retreading),NULL,"1,500"
326212,Tire Retreading,NULL,500
326220,"Rubber and Plastics Hoses and Belting Manufacturing",NULL,750
326291,"Rubber Product Manufacturing for Mechanical Use",NULL,750
326299,All Other Rubber Product Manufacturing,NULL,500
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",NULL,"1,000"
327120,"Clay Building Material and Refractories Manufacturing",NULL,750
327211,Flat Glass Manufacturing,NULL,"1,000"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing",NULL,"1,250"
327213,Glass Container Manufacturing,NULL,"1,250"
327215,"Glass Product Manufacturing Made of Purchased Glass",NULL,"1,000"
327310,Cement Manufacturing,NULL,"1,000"
327320,Ready-Mix Concrete Manufacturing,NULL,500
327331,Concrete Block and Brick Manufacturing,NULL,500
327332,Concrete Pipe Manufacturing,NULL,750
327390,Other Concrete Product Manufacturing,NULL,500
327410,Lime Manufacturing,NULL,750
327420,Gypsum Product Manufacturing,NULL,"1,500"
327910,Abrasive Product Manufacturing,NULL,750
327991,Cut Stone and Stone Product Manufacturing,NULL,500
327992,"Ground or Treated Mineral and Earth Manufacturing",NULL,500
327993,Mineral Wool Manufacturing,NULL,"1,500"
327999,"All Other Miscellaneous Nonmetallic Mineral Product Manufacturing",NULL,500
331110,"Iron and Steel Mills and Ferroalloy Manufacturing",NULL,"1,500"
331210,"Iron and Steel Pipe and Tube Manufacturing from Purchased Steel",NULL,"1,000"
331221,Rolled Steel Shape Manufacturing,NULL,"1,000"
331222,Steel Wire Drawing,NULL,"1,000"
331313,"Alumina Refining and Primary Aluminum Production",NULL,"1,000"
331314,"Secondary Smelting and Alloying of Aluminum",NULL,750
331315,"Aluminum Sheet, Plate and Foil Manufacturing",NULL,"1,250"
331318,"Other Aluminum Rolling, Drawing, and Extruding",NULL,750
331410,"Nonferrous Metal (except Aluminum) Smelting and Refining",NULL,"1,000"
331420,"Copper Rolling, Drawing, Extruding, and Alloying",NULL,"1,000"
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing and Extruding",NULL,750
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",NULL,750
331511,Iron Foundries,NULL,"1,000"
331512,Steel Investment Foundries,NULL,"1,000"
331513,Steel Foundries (except Investment),NULL,500
331523,Nonferrous Metal Die-Casting Foundries,NULL,500
331524,Aluminum Foundries (except Die-Casting),NULL,500
331529,"Other Nonferrous Metal Foundries (except Die-Casting)",NULL,500
332111,Iron and Steel Forging,NULL,750
332112,Nonferrous Forging,NULL,750
332114,Custom Roll Forming,NULL,500
332117,Powder Metallurgy Part Manufacturing,NULL,500
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",NULL,750
332216,Saw Blade and Handtool Manufacturing,NULL,750
332311,"Prefabricated Metal Building and Component Manufacturing",NULL,750
332312,Fabricated Structural Metal Manufacturing,NULL,500
332313,Plate Work Manufacturing,NULL,750
332321,Metal Window and Door Manufacturing,NULL,750
332322,Sheet Metal Work Manufacturing,NULL,500
332323,"Ornamental and Architectural Metal Work Manufacturing",NULL,500
332410,"Power Boiler and Heat Exchanger Manufacturing",NULL,750
332420,Metal Tank (Heavy Gauge) Manufacturing,NULL,750
332431,Metal Can Manufacturing,NULL,"1,500"
332439,Other Metal Container Manufacturing,NULL,500
332510,Hardware Manufacturing,NULL,750
332613,Spring Manufacturing,NULL,500
332618,"Other Fabricated Wire Product Manufacturing",NULL,500
332710,Machine Shops,NULL,500
332721,Precision Turned Product Manufacturing,NULL,500
332722,"Bolt, Nut, Screw, Rivet and Washer Manufacturing",NULL,500
332811,Metal Heat Treating,NULL,750
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",NULL,500
332813,"Electroplating, Plating, Polishing, Anodizing and Coloring",NULL,500
332911,Industrial Valve Manufacturing,NULL,750
332912,"Fluid Power Valve and Hose Fitting Manufacturing",NULL,"1,000"
332913,"Plumbing Fixture Fitting and Trim Manufacturing",NULL,"1,000"
332919,"Other Metal Valve and Pipe Fitting Manufacturing",NULL,750
332991,Ball and Roller Bearing Manufacturing,NULL,"1,250"
332992,Small Arms Ammunition Manufacturing,NULL,"1,250"
332993,"Ammunition (except Small Arms) Manufacturing",NULL,"1,500"
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",NULL,"1,000"
332996,"Fabricated Pipe and Pipe Fitting Manufacturing",NULL,500
332999,"All Other Miscellaneous Fabricated Metal Product Manufacturing",NULL,750
333111,"Farm Machinery and Equipment Manufacturing",NULL,"1,250"
333112,"Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing",NULL,"1,500"
333120,Construction Machinery Manufacturing,NULL,"1,250"
333131,"Mining Machinery and Equipment Manufacturing",NULL,500
333132,"Oil and Gas Field Machinery and Equipment Manufacturing",NULL,"1,250"
333241,Food Product Machinery Manufacturing,NULL,500
333242,Semiconductor Machinery Manufacturing,NULL,"1,500"
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",NULL,500
333244,"Printing Machinery and Equipment Manufacturing",NULL,750
333249,Other Industrial Machinery Manufacturing,NULL,500
333314,Optical Instrument and Lens Manufacturing,NULL,500
333316,"Photographic and Photocopying Equipment Manufacturing",NULL,"1,000"
333318,"Other Commercial and Service Industry Machinery Manufacturing",NULL,"1,000"
333414,"Heating Equipment (except Warm Air Furnaces) Manufacturing",NULL,500
333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing",NULL,"1,250"
333511,Industrial Mold Manufacturing,NULL,500
333514,"Special Die and Tool, Die Set, Jig and Fixture Manufacturing",NULL,500
333515,"Cutting Tool and Machine Tool Accessory Manufacturing",NULL,500
333517,Machine Tool Manufacturing,NULL,500
333519,"Rolling Mill and Other Metalworking Machinery Manufacturing",NULL,500
333611,"Turbine and Turbine Generator Set Unit Manufacturing",NULL,"1,500"
333612,"Speed Changer, Industrial High-Speed Drive and Gear Manufacturing",NULL,750
333613,"Mechanical Power Transmission Equipment Manufacturing",NULL,750
333618,Other Engine Equipment Manufacturing,NULL,"1,500"
333912,Air and Gas Compressor Manufacturing,NULL,"1,000"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",NULL,750
333921,Elevator and Moving Stairway Manufacturing,NULL,"1,000"
333922,"Conveyor and Conveying Equipment Manufacturing",NULL,500
333923,"Overhead Traveling Crane, Hoist and Monorail System Manufacturing",NULL,"1,250"
333924,"Industrial Truck, Tractor, Trailer and Stacker Machinery Manufacturing",NULL,750
333991,Power-Driven Hand Tool Manufacturing,NULL,500
333992,"Welding and Soldering Equipment Manufacturing",NULL,"1,250"
333993,Packaging Machinery Manufacturing,NULL,500
333995,"Fluid Power Cylinder and Actuator Manufacturing",NULL,750
333996,Fluid Power Pump and Motor Manufacturing,NULL,"1,250"
333997,Scale and Balance Manufacturing,NULL,500
333999,"All Other Miscellaneous General Purpose Machinery Manufacturing",NULL,500
334111,Electronic Computer Manufacturing,NULL,"1,250"
334112,Computer Storage Device Manufacturing,NULL,"1,250"
334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing",NULL,"1,000"
334210,Telephone Apparatus Manufacturing,NULL,"1,250"
334220,"Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing",NULL,"1,250"
334290,"Other Communications Equipment Manufacturing",NULL,750
334310,Audio and Video Equipment Manufacturing,NULL,750
334412,Bare Printed Circuit Board Manufacturing,NULL,750
334413,"Semiconductor and Related Device Manufacturing",NULL,"1,250"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",NULL,500
334417,Electronic Connector Manufacturing,NULL,"1,000"
334418,"Printed Circuit Assembly (Electronic Assembly) Manufacturing",NULL,750
334419,Other Electronic Component Manufacturing,NULL,750
334510,"Electromedical and Electrotherapeutic Apparatus Manufacturing",NULL,"1,250"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",NULL,"1,250"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial and Appliance Use",NULL,500
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",NULL,750
334514,"Totalizing Fluid Meter and Counting Device Manufacturing",NULL,750
334515,"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals",NULL,750
334516,"Analytical Laboratory Instrument Manufacturing",NULL,"1,000"
334517,Irradiation Apparatus Manufacturing,NULL,"1,000"
334519,"Other Measuring and Controlling Device Manufacturing",NULL,500
334613,"Blank Magnetic and Optical Recording Media Manufacturing",NULL,"1,000"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",NULL,"1,250"
335110,Electric Lamp Bulb and Part Manufacturing,NULL,"1,250"
335121,"Residential Electric Lighting Fixture Manufacturing",NULL,750
335122,"Commercial, Industrial and Institutional Electric Lighting Fixture Manufacturing",NULL,500
335129,Other Lighting Equipment Manufacturing,NULL,500
335210,Small Electrical Appliance Manufacturing,NULL,"1,500"
335220,Major Household Appliance Manufacturing,NULL,"1,500"
335311,"Power, Distribution and Specialty Transformer Manufacturing",NULL,750
335312,Motor and Generator Manufacturing,NULL,"1,250"
335313,"Switchgear and Switchboard Apparatus Manufacturing",NULL,"1,250"
335314,Relay and Industrial Control Manufacturing,NULL,750
335911,Storage Battery Manufacturing,NULL,"1,250"
335912,Primary Battery Manufacturing,NULL,"1,000"
335921,Fiber Optic Cable Manufacturing,NULL,"1,000"
335929,"Other Communication and Energy Wire Manufacturing",NULL,"1,000"
335931,"Current-Carrying Wiring Device Manufacturing",NULL,500
335932,"Noncurrent-Carrying Wiring Device Manufacturing",NULL,"1,000"
335991,Carbon and Graphite Product Manufacturing,NULL,750
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing",NULL,500
336111,Automobile Manufacturing,NULL,"1,500"
336112,Light Truck and Utility Vehicle Manufacturing,NULL,"1,500"
336120,Heavy Duty Truck Manufacturing,NULL,"1,500"
336211,Motor Vehicle Body Manufacturing,NULL,"1,000"
336212,Truck Trailer Manufacturing,NULL,"1,000"
336213,Motor Home Manufacturing,NULL,"1,250"
336214,Travel Trailer and Camper Manufacturing,NULL,"1,000"
336310,"Motor Vehicle Gasoline Engine and Engine Parts Manufacturing",NULL,"1,000"
336320,"Motor Vehicle Electrical and Electronic Equipment Manufacturing",NULL,"1,000"
336330,"Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing",NULL,"1,000"
336340,Motor Vehicle Brake System Manufacturing,NULL,"1,250"
336350,"Motor Vehicle Transmission and Power Train Parts Manufacturing",NULL,"1,500"
336360,"Motor Vehicle Seating and Interior Trim Manufacturing",NULL,"1,500"
336370,Motor Vehicle Metal Stamping,NULL,"1,000"
336390,Other Motor Vehicle Parts Manufacturing,NULL,"1,000"
336411,Aircraft Manufacturing,NULL,"1,500"
336412,"Aircraft Engine and Engine Parts Manufacturing",NULL,"1,500"
336413,"Other Aircraft Part and Auxiliary Equipment Manufacturing",NULL,"1,250"
336414,"Guided Missile and Space Vehicle Manufacturing",NULL,"1,250"
336415,"Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing",NULL,"1,250"
336419,"Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing",NULL,"1,000"
336510,Railroad Rolling Stock Manufacturing,NULL,"1,500"
336611,Ship Building and Repairing,NULL,"1,250"
336991,"Motorcycle, Bicycle and Parts Manufacturing",NULL,"1,000"
336992,"Military Armored Vehicle, Tank and Tank Component Manufacturing",NULL,"1,500"
336999,"All Other Transportation Equipment Manufacturing",NULL,"1,000"
337110,"Wood Kitchen Cabinet and Counter Top Manufacturing",NULL,750
337121,"Upholstered Household Furniture Manufacturing",NULL,"1,000"
337122,"Nonupholstered Wood Household Furniture Manufacturing",NULL,750
337124,Metal Household Furniture Manufacturing,NULL,750
337125,"Household Furniture (except Wood and Metal) Manufacturing",NULL,750
337127,Institutional Furniture Manufacturing,NULL,500
337211,Wood Office Furniture Manufacturing,NULL,"1,000"
337212,"Custom Architectural Woodwork and Millwork Manufacturing",NULL,500
337214,"Office Furniture (Except Wood) Manufacturing",NULL,"1,000"
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",NULL,500
337910,Mattress Manufacturing,NULL,"1,000"
337920,Blind and Shade Manufacturing,NULL,"1,000"
339112,"Surgical and Medical Instrument Manufacturing",NULL,"1,000"
339113,"Surgical Appliance and Supplies Manufacturing",NULL,750
339114,"Dental Equipment and Supplies Manufacturing",NULL,750
339115,Ophthalmic Goods Manufacturing,NULL,"1,000"
339116,Dental Laboratories,NULL,500
339910,Jewelry and Silverware Manufacturing,NULL,500
339920,Sporting and Athletic Goods Manufacturing,NULL,750
339930,"Doll, Toy, and Game Manufacturing",NULL,500
339940,Office Supplies (except Paper) Manufacturing,NULL,750
